UPLINK: CDN - Center for Jewish,rx,40.346685,-74.653631,847726
UPLINK: CDN - Lockhart Hall,rx,40.346718,-74.656582,9610545
UPLINK: CDN - Feinberg Hall,rx,40.345817,-74.65654,5059859
UPLINK: CDN - 1927/Clapp Hall,rx,40.345208,-74.655773,7209302
UPLINK: CDN - Class of 1915 Hall,rx,40.344775,-74.656991,6450575
UPLINK: CDN - Wu Hall,rx,40.344702,-74.656545,2104537
UPLINK: CDN - Dod Hall,rx,40.346747,-74.658675,15025357
UPLINK: CDN - Alexander Hall,rx,40.348355,-74.660629,1095279
UPLINK: CDN - Bendheim Ctr for F,rx,40.348712,-74.653484,3423387
UPLINK: CDN - Foulke Hall,rx,40.346307,-74.660997,10398464
UPLINK: CDN - Gauss Hall,rx,40.345127,-74.656718,4673555
UPLINK: CDN - Class of 1938 Hall,rx,40.344979,-74.655407,7401116
UPLINK: CDN - Dodge-Osborne Hall,rx,40.3455,-74.655806,7463953
UPLINK: CDN - Class of 1937,rx,40.345858,-74.656244,9549513
UPLINK: CDN - Jones Hall,rx,40.346433,-74.655946,3704360
UPLINK: CDN - Campus Club,rx,40.347662,-74.654524,1393288
