UPLINK: CDN - Lockhart Hall,rx,,40.346718,-74.656582,15914470.42,
UPLINK: CDN - Feinberg Hall,rx,,40.345817,-74.65654,6796181.34,
UPLINK: CDN - 1927/Clapp Hall,rx,,40.345208,-74.655773,10514441.2,
UPLINK: CDN - Class of 1915 Hall,rx,,40.344775,-74.656991,9788631.109,
UPLINK: CDN - Wu Hall,rx,,40.344702,-74.656545,2772514.083,
UPLINK: CDN - Dod Hall,rx,,40.346747,-74.658675,22147470.52,
UPLINK: CDN - Alexander Hall,rx,,40.348355,-74.660629,1047878.449,
UPLINK: CDN - Bendheim Ctr for F,rx,,40.348712,-74.653484,2196883.151,
UPLINK: CDN - Foulke Hall,rx,,40.346307,-74.660997,14961382.68,
UPLINK: CDN - Gauss Hall,rx,,40.345127,-74.656718,8097554.404,
UPLINK: CDN - Class of 1938 Hall,rx,,40.344979,-74.655407,12682040.48,
UPLINK: CDN - Dodge-Osborne Hall,rx,,40.3455,-74.655806,12296436.78,
UPLINK: CDN - Class of 1937,rx,,40.345858,-74.656244,15180000.81,
UPLINK: CDN - Jones Hall,rx,,40.346433,-74.655946,5382557.574,
UPLINK: CDN - Campus Club,rx,,40.347662,-74.654524,2200363.46,
