UPLINK: CDN - Center for Jewish,tx,40.346685,-74.653631,2127792
UPLINK: CDN - Lockhart Hall,tx,40.346718,-74.656582,963783
UPLINK: CDN - Feinberg Hall,tx,40.345817,-74.65654,343703
UPLINK: CDN - 1927/Clapp Hall,tx,40.345208,-74.655773,635335
UPLINK: CDN - Class of 1915 Hall,tx,40.344775,-74.656991,581375
UPLINK: CDN - Wu Hall,tx,40.344702,-74.656545,894093
UPLINK: CDN - Dod Hall,tx,40.346747,-74.658675,1597767
UPLINK: CDN - Alexander Hall,tx,40.348355,-74.660629,913790
UPLINK: CDN - Bendheim Ctr for F,tx,40.348712,-74.653484,3094735
UPLINK: CDN - Foulke Hall,tx,40.346307,-74.660997,746661
UPLINK: CDN - Gauss Hall,tx,40.345127,-74.656718,504287
UPLINK: CDN - Class of 1938 Hall,tx,40.344979,-74.655407,1091661
UPLINK: CDN - Dodge-Osborne Hall,tx,40.3455,-74.655806,925956
UPLINK: CDN - Class of 1937,tx,40.345858,-74.656244,1220401
UPLINK: CDN - Jones Hall,tx,40.346433,-74.655946,2273717
UPLINK: CDN - Campus Club,tx,40.347662,-74.654524,540620
