UPLINK: CDN - Blair Hall / Buyers Hall,40.347607,-74.6612695,rx,27680494,20531836,18478461,10245778,9253916,7363680,6168713,4326178,6450911,7356603,11796006,11396509,19694571,25515523,41733474,50291556,49416629,54068022,51671852,60309558,56134730,60517438,85935482,73850304,64190400,36180799,35907577,19800444,12033155
UPLINK: CDN - Lawrence Apts High Rise,40.33316,-74.657092,rx,146693556,104934689,50740459,33778091,25552036,17448492,20255978,19986282,26398758,28048705,39115151,47881991,38586258,47039396,41054384,60502434,75914488,89047429,73801284,72801716,76507825,88749962,135187749,150632975,131068854,85160505,93306918,57032379,41337655
UPLINK: CDN - Spelman Hall,40.344822,-74.659381,rx,49477691,31040469,21161698,13344221,9465765,9840743,6350921,6038690,11705798,20565453,27870581,31386104,42461476,56707600,55905904,53675682,41568744,56792287,41246050,51531256,61729951,52658617,63973461,67240850,75184704,55238311,44217002,26566290,17629125
UPLINK: CDN - Campbell Hall / Joline Hall,40.348132,-74.662064,rx,19670021,29442125,17683265,10705716,9988015,9136661,4279008,6015914,4264206,4427381,8396697,12330658,23391421,15046712,48607697,107248021,58192287,23540801,24379610,37048815,57582120,47647441,54104904,48236606,55406351,50237645,25286945,16561668,11689363
UPLINK: CDN - Edwards Hall,40.347374,-74.659319,rx,10759025,8884403,7554442,5667759,4744273,2567069,2721462,1804412,1597845,2340425,3662118,17234020,21818197,14561158,14706817,19047457,16853588,13380894,11547390,13141477,27499912,17700948,21400688,32213103,36942577,31066322,10969658,8738026,6638444
UPLINK: CDN - McCosh Health Center,40.346376,-74.655264,rx,2150516,436016,414140,190036,232310,364901,502827,182661,302604,170103,187692,393013,532241,214659,525548,406950,304737,808632,2291008,317318,293487,712326,401390,529005,1587396,301051,1630189,248096,169792
UPLINK: CDN - Wallace Hall,40.349499,-74.653675,rx,3216765,5352442,1909364,940708,905473,1647957,978074,939169,906696,818136,1445963,1679569,4286801,5741472,10147506,11886697,7958084,7603784,9738713,9247985,9522490,10084040,10436469,7784514,7602884,4059324,2175508,851132,698519
UPLINK: CDN - Scully Hall,40.344554,-74.654467,rx,34501177,28471693,20407749,14967562,8837140,5051279,4457903,5236645,9639289,14533914,14981625,13801361,41864063,29486056,39784985,45754352,42363103,52229202,45063365,42722511,61393570,71300449,112381016,84163040,92300513,68836486,57326123,31733867,17896278
UPLINK: CDN - Patton Hall / Bagley Wright,40.344198,-74.65148,rx,13455811,15266899,16084403,8398089,7873677,5198639,3244086,3375198,3129649,5582818,6561826,9959622,13204254,12971303,14721231,18691310,21029013,32627881,16010071,18911918,37297241,43426104,43137448,46731764,73285371,36544976,23157788,15370557,10773056
UPLINK: CDN - Princeton Stadium,40.346034,-74.650037,rx,214322,207904,201828,199790,195936,193312,201140,193980,194408,208098,229533,242617,265452,299772,293657,308986,322542,321248,348796,341738,426412,483405,450606,377282,342092,296174,299596,266909,249688
UPLINK: CDN - Cuyler Hall,40.346158,-74.657446,rx,12804977,8914707,12406567,7501694,8332257,4235884,16042460,3392616,2333794,4004702,6586704,6518545,9929225,7967132,12604524,11708904,8749210,11822227,16256662,12824448,17835907,21839734,26503697,16578923,22471719,78407886,19195588,11636928,7696324
