UPLINK: CDN - New Grad College,40.340801,-74.665806,rx,63251830,50492969,67555883,22186440,15460575,15103928,10390868,10007990,18034892,21720133,39559211,69522960,47301446,36724130,35992199,36044090,44359253,69308264,95058162,72911819,78268282,119769763,92981246,77687689,66534949,52991626,40574245,15948446,11347627,12098040,13123813
UPLINK: CDN VOIP - Forbes College,40.34215,-74.660942,rx,47440616,56854930,35041328,21404298,13552032,7623864,7133265,6401088,7477315,10064593,15549212,25023226,26587754,35617825,69625933,62456981,58553326,46943634,52090803,65705939,89209667,81297740,78359255,93367560,84284698,65907620,57583080,42337227,26753721,24269419,36646742
UPLINK: CDN - von Neumann Hall,40.350481,-74.649161,rx,642372,528501,563342,478403,581236,591328,1067558,2131781,953976,6761022,1711923,1082621,2847425,2963734,3216554,4624761,3874395,6218428,5367441,7470349,7158403,5530597,3962003,4025504,4071163,1718751,1753411,1563527,1506307,1796777,4792379
UPLINK: CDN - Witherspoon Hall,40.347482,-74.660188,rx,18660317,11709571,11369019,7662920,5595636,3888061,1856360,4129239,7494231,6848575,9833881,14678138,20541045,22913249,22363653,28897155,30749996,34575433,21551971,27082055,32613745,43717688,48292039,41687963,46912844,32167976,14674370,11651065,9287492,12790181,7031532
UPLINK: CDN - East Pyne,40.348747,-74.658499,rx,2937295,2799881,1390767,825956,806998,875851,760740,989141,818921,920009,1163438,2495257,8685070,15386910,14907969,24883719,30010295,24389965,20313762,10658119,11558701,12835962,6474185,5149453,3036705,1877727,1586394,1350582,1159740,908417,1212066
UPLINK: CDN - Henry Hall,40.345865,-74.660676,rx,12686275,13388677,8452171,5906830,4675732,5196232,3262470,1878435,1076830,1639811,7129296,3493267,5317401,6252137,6962190,11783968,13018435,18417140,14533818,16883481,21598281,31765110,41536378,53363200,45390561,18606708,17350230,16992310,10770882,8514436,5444616
UPLINK: CDN - Fine Hall,40.345824,-74.65242,rx,9517298,5804950,7565878,4591436,5284130,5056397,5473558,5957564,11267266,8753831,10838301,11520698,13256536,13247168,12744240,15479968,18470278,18025821,22813290,20661056,18833212,16727724,17726480,12545008,10288955,7891175,6453738,6004118,6153386,9178118,6455490
UPLINK: CDN VOIP - Lawrence Apts,40.332915,-74.657145,rx,107490088,78530313,58343947,40132609,27457117,25024345,16191205,24013983,20643478,35059710,58110635,79407716,84793170,94140148,103986304,87493696,105769951,83773344,90785890,107738842,115763564,133054002,105669684,104498189,96790222,116910214,70975361,42986531,24768967,23130972,20757008
UPLINK: CDN - Carl Icahn Lab,40.344453,-74.653287,rx,12166694,11427165,10383371,10386994,9041411,7751012,8812188,7056796,6971161,8062411,7108569,15790058,8894469,11610877,47112311,42819291,69327455,13531727,15568428,15149714,19577350,16916410,13731544,13701823,14144840,14785835,14564513,15485683,8261803,7307861,8362442
UPLINK: CDN - EQuad B-Wing,40.350719,-74.650544,rx,37367374,31526813,23647298,20998826,20924623,20416506,22081988,19286426,19686558,21804106,44917354,55964654,35628328,40246136,47740628,50936531,68918831,58165597,76495199,62316583,58329841,60567185,56242496,50176287,48042819,32108268,33961205,28930619,28126883,24661951,25214807
UPLINK: CDN - Jadwin Gym,40.343447,-74.648701,rx,24290098,27641200,19256901,12096747,9247952,7172434,4924739,8334836,6386065,6572900,7672203,13413072,16709752,12648055,12774302,25031388,26693773,24743994,18274956,29813948,48711814,62047158,40566710,84574586,48989397,37227349,31816579,16414774,13761345,8375925,7332586
UPLINK: CDN - Class of 1901 Hall,40.345872,-74.660142,rx,17887097,10980001,9316732,8369520,5652218,2342464,2676521,2045947,4210409,1866421,5628800,9610051,37699023,15009810,19629876,21088688,19355525,39422299,35426490,27640681,42493931,49803878,53820276,65363705,44447862,34424669,42584096,19953497,14165956,15903941,8435735
UPLINK: CDN - Class of 1903 Hall,40.34613,-74.656942,rx,17830272,9877495,8703497,6027113,3964090,2198464,5002709,6708609,8962089,17357743,21589395,17869984,17119188,13811407,16644964,20077374,23112199,25192257,25127484,18691241,32572245,32139614,36528630,36292943,33824546,27628475,24314548,11735344,8857656,5259502,5056172
UPLINK: CDN - Robertson Hall,40.348347,-74.654724,rx,2536677,1236770,1167771,923070,847834,963521,1097819,836275,603316,1084084,1872451,2594286,2543712,4064437,4290818,7180466,4301281,6777712,4756999,3855815,9812108,5943115,5621444,3750824,2400822,1797991,1197930,1050720,1055414,780341,1183329
UPLINK: CDN - Fisher Hall,40.344716,-74.658261,rx,3935084,1800120,1161011,976164,921482,929243,1446360,1016209,831390,1438418,3408288,4604039,2996268,4286615,5518809,3766640,3695800,19628247,4211457,3991942,6887206,3353452,3459332,4528585,3382773,2558343,1415488,1195226,1289877,1287127,1487189
UPLINK: CDN - Wilcox Hall,40.344779,-74.656155,rx,4210776,2733395,2335535,2196230,652714,677126,523007,714017,800261,1631609,3321506,6620423,22753386,18838721,19498546,12610475,8853337,15190637,15312019,16583157,20329784,13241048,14613122,10980801,9959791,5547434,3877839,2451809,1784401,1615894,1320845
UPLINK: CDN - Holder Hall,40.348716,-74.661314,rx,27868474,27538889,10994395,7453004,3442736,2852224,2728878,3859888,5922334,6238801,8912411,13221784,16757904,22175068,26406583,29716873,35089951,34462391,34105427,47163973,42548935,54545043,62804902,59031717,55074262,40810572,26226213,18853219,15031322,11812795,8472169
UPLINK: CDN - Forbes College Addition,40.341665,-74.660702,rx,19051766,16215952,13647837,9946684,8466440,3419689,2031739,1619143,1744013,3088769,6354027,6116053,13931866,12294597,15000180,62554879,28743520,25036945,28078792,30517576,34196625,43253180,56789771,56397505,45984543,33868914,27672571,14300510,9008249,6709756,7171945
