UPLINK: CDN - Henry House,40.34938,-74.658949,rx,557809.5385,1176055.57,1224042.05
UPLINK: CDN - Cloister Club,40.348656,-74.65058,rx,617241.6391,2046981.498,2696461.355
UPLINK: CDN - Ivy Club,40.348169,-74.652238,rx,731248.6686,2201144.297,2839065.215
UPLINK: CDN - Cap and Gown Club,40.348326,-74.651047,rx,784506.2781,2256452.34,2851028.785
UPLINK: CDN - Class of 1879 Hall,40.347745,-74.655352,rx,2965242.207,6805690.068,5860251.215
UPLINK: CDN - Hoyt Laboratory,40.349647,-74.654714,rx,5626075.722,7077324.404,5118151.926
UPLINK: CDN - Clio Hall,40.347704,-74.659195,rx,1078851.036,1229356.94,1507734.917
UPLINK: CDN - Dodge Hall,40.347978,-74.657977,rx,1061738.337,1063702.181,1765341.744
UPLINK: CDN - Architectural Labo,40.343597,-74.649973,rx,167122.8935,259098.8,311746.8182
UPLINK: CDN - Peyton Hall,40.346549,-74.651659,rx,72095934.91,42219269.97,67757630.95
UPLINK: CDN - Brown Hall,40.346467,-74.657882,rx,13122229.63,20735426.66,15450851.45
UPLINK: CDN - Walker Hall,40.345549,-74.657072,rx,8923721.107,17148068.38,11500153.64
UPLINK: CDN - Center for Jewish,40.346685,-74.653631,rx,418415.4142,588006.4226,680274.3802
UPLINK: CDN - Lockhart Hall,40.346718,-74.656582,rx,10211442.68,15914470.42,10150997.42
UPLINK: CDN - Feinberg Hall,40.345817,-74.65654,rx,4005389.982,6796181.34,4058869.678
UPLINK: CDN - 1927/Clapp Hall,40.345208,-74.655773,rx,5481328.953,10514441.2,8930320.917
UPLINK: CDN - Class of 1915 Hall,40.344775,-74.656991,rx,6038328.722,9788631.109,11096509.08
UPLINK: CDN - Wu Hall,40.344702,-74.656545,rx,718416.3491,2772514.083,2726363.24
UPLINK: CDN - Dod Hall,40.346747,-74.658675,rx,15364529.72,22147470.52,18678959.75
UPLINK: CDN - Alexander Hall,40.348355,-74.660629,rx,345611.7337,1047878.449,862253.7438
UPLINK: CDN - Bendheim Ctr for F,40.348712,-74.653484,rx,4200026.994,2196883.151,4093202.025
UPLINK: CDN - Foulke Hall,40.346307,-74.660997,rx,9524812.834,14961382.68,12891944.12
UPLINK: CDN - Gauss Hall,40.345127,-74.656718,rx,3193816.609,8097554.404,5428546.942
UPLINK: CDN - Class of 1938 Hall,40.344979,-74.655407,rx,6715379.651,12682040.48,10679538.05
UPLINK: CDN - Dodge-Osborne Hall,40.3455,-74.655806,rx,5960813.899,12296436.78,10483221.96
UPLINK: CDN - Class of 1937,40.345858,-74.656244,rx,8000930.964,15180000.81,12714456.6
UPLINK: CDN - Jones Hall,40.346433,-74.655946,rx,1303009.095,5382557.574,4692210.388
UPLINK: CDN - Campus Club,40.347662,-74.654524,rx,516013.8817,2200363.46,1889741.826
,,,,Average Fall Break,Average Fall Final,Average Fall Midterm
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
